153,-0.07,0.05,-0.02,4.58,-0.2,8.1
,,,,,,
154,-0.05,0.06,-0.03,4.76,0.72,8.3
,,,,,,
155,-0.03,0.09,-0.02,4.39,0.01,9.02
,,,,,,
156,-0.03,0.03,-0.02,4.18,0.02,8.08
,,,,,,
157,-0.01,0.03,-0.02,4.1,0.36,8.38
,,,,,,
158,-0.03,0.09,-0.02,4.31,0.64,8.67
,,,,,,
159,-0.04,0.04,-0.05,4.4,1.39,9.48
,,,,,,
160,-0.07,0.07,-0.06,4.34,0.24,8.31
,,,,,,
161,-0.09,0.09,-0.03,4.32,0.72,8.35
,,,,,,
162,-0.09,0.11,-0.02,4.1,0.65,9.46
,,,,,,
163,-0.06,-0.02,-0.01,3.68,0.6,9.26
,,,,,,
164,-0.08,0,-0.03,4.59,0.74,8.86
,,,,,,
165,-0.1,0.01,0,4.25,0.03,7.69
,,,,,,
166,-0.12,0.04,0.01,4.01,0.1,8.53
,,,,,,
167,-0.13,0.05,0,3.92,1.09,8.66
,,,,,,
168,-0.13,-0.01,-0.02,4.36,-0.1,8.48
,,,,,,
169,-0.17,0.07,-0.02,4.46,1.07,8.49
,,,,,,
170,-0.19,0.03,-0.01,4.12,0.07,9.53
,,,,,,
171,-0.2,-0.01,-0.01,4.36,1.15,8.51
,,,,,,
172,-0.17,-0.03,-0.02,4.12,0.38,8.83
,,,,,,
173,-0.16,0.09,-0.01,4.67,0.44,8.3
,,,,,,
174,-0.11,-0.03,-0.01,4.07,0.4,9.14
,,,,,,
175,-0.08,0.06,0,4.41,0.6,8.2
,,,,,,
176,-0.06,0.05,-0.01,4.08,0.2,8.54
,,,,,,
177,-0.05,0.02,-0.01,4.5,0.66,8.65
,,,,,,
178,-0.04,0.01,-0.02,4.34,0.59,8.71
,,,,,,
179,-0.04,-0.03,-0.02,4.34,0.56,8.56
,,,,,,
180,-0.04,-0.04,-0.03,4.55,0.66,8.47
,,,,,,
181,-0.13,0.01,-0.02,4.42,1.01,8.29
,,,,,,
182,-0.19,-0.07,-0.02,4.36,0.44,7.51
,,,,,,
183,-0.24,-0.02,-0.02,4.21,0.17,7.62
,,,,,,
184,-0.25,-0.02,0,4.24,0.44,8.68
,,,,,,
185,-0.23,-0.01,-0.01,3.81,0.34,9.71
,,,,,,
186,-0.1,0.03,-0.03,4.27,-0.07,9.8
,,,,,,
187,-0.06,-0.02,-0.01,4.7,-0.04,9.09
,,,,,,
188,-0.06,0,0,4.48,1.41,8.05
,,,,,,
189,-0.11,0.1,-0.02,3.93,1.11,8.97
,,,,,,
190,-0.16,-0.03,-0.02,4.02,0.95,8.53
,,,,,,
191,-0.14,0,-0.03,5.1,0.45,8.78
,,,,,,
192,-0.14,-0.03,-0.03,3.79,1.04,9.09
,,,,,,
193,-0.16,0,-0.04,4.81,0.21,8.35
,,,,,,
194,-0.11,0.02,-0.05,3.69,0.06,9.62
,,,,,,
195,-0.09,0.01,-0.02,4.54,0.12,8.23
,,,,,,
196,-0.1,0.07,-0.02,4.39,0.78,8.86
,,,,,,
197,-0.11,0.06,-0.01,4.12,-0.05,8.59
,,,,,,
198,-0.11,0.03,0,4.47,1.07,8.65
,,,,,,
199,-0.13,0.04,-0.01,4.56,0.58,9.09
,,,,,,
200,-0.16,-0.01,-0.01,3.92,0.9,9.02
,,,,,,
201,-0.15,0.02,-0.02,4.47,0.59,8.87
,,,,,,
202,-0.15,0.03,-0.03,3.81,0.41,9.16
,,,,,,
203,-0.12,0.03,-0.02,4.52,-0.19,8.87
,,,,,,
204,-0.1,0.04,-0.01,4.74,0.85,9.28
,,,,,,
205,-0.1,0.03,0,4.6,-0.02,8.34
,,,,,,
206,-0.1,0.06,-0.01,4.91,0.23,8.11
,,,,,,
207,-0.13,0.04,0.01,4.3,0.97,9.16
,,,,,,
208,-0.13,0.02,0,4.32,0.61,8.12
,,,,,,
209,-0.14,0.01,0,4.12,0.57,8.88
,,,,,,
210,-0.12,0.02,0,3.92,0.74,8.75
,,,,,,
211,-0.13,0,-0.03,3.98,0.72,7.98
,,,,,,
212,-0.12,0.03,-0.04,3.32,-0.12,8.69
,,,,,,
213,-0.12,0.07,-0.03,4.53,0.64,8.19
,,,,,,
214,-0.12,0.03,-0.02,3.93,0.62,9.14
,,,,,,
215,-0.1,0.04,-0.02,4.12,0.12,8.91
,,,,,,
216,-0.11,0.05,0,4.54,0.79,8.84
,,,,,,
217,-0.13,0.02,-0.01,4.4,0.9,9.1
,,,,,,
218,-0.13,-0.03,-0.01,4.12,0.07,8.67
,,,,,,
219,-0.14,0.01,0,4.45,0.57,8.42
,,,,,,
220,-0.15,0.03,-0.03,4.7,0.39,8.13
,,,,,,
221,-0.14,-0.02,-0.04,4.8,0.82,9.36
,,,,,,
222,-0.12,0.08,-0.04,4.59,0.76,8.71
,,,,,,
223,-0.09,0.03,-0.04,4.75,0,8.34
,,,,,,
224,-0.09,0.04,-0.02,4.18,0.36,8.35
,,,,,,
225,-0.12,0.08,-0.01,4.44,0.92,8.42
,,,,,,
226,-0.13,0,-0.03,4.1,0.24,8.99
,,,,,,
227,-0.13,-0.02,-0.01,3.96,0.34,8.69
,,,,,,
228,-0.14,0.07,-0.01,4.18,0.85,8.93
,,,,,,
229,-0.14,-0.01,-0.02,4.39,0.69,9.07
,,,,,,
230,-0.12,0.04,-0.03,4.11,0.79,9.18
,,,,,,
231,-0.11,0.07,-0.01,4.11,0.67,9.14
,,,,,,
232,-0.1,-0.01,-0.01,4.12,0.5,9.12
,,,,,,
233,-0.11,0.05,-0.01,4.64,0.58,8.79
,,,,,,
234,-0.12,0.04,0,3.88,0.71,9.29
,,,,,,
235,-0.11,-0.01,0,4.28,0.6,8.62
,,,,,,
236,-0.12,0.01,0,4.16,0.36,8.51
,,,,,,
237,-0.14,0.08,0.01,3.74,0.54,8.97
,,,,,,
238,-0.13,0.02,0,4.09,0.35,8.85
,,,,,,
239,-0.12,0.03,-0.02,3.95,0.42,9.06
,,,,,,
240,-0.12,0.03,-0.01,4.43,0.75,8.89
,,,,,,
241,-0.11,0.01,-0.02,4.22,0.27,8.86
,,,,,,
242,-0.11,0.01,-0.02,4.11,0.9,8.6
,,,,,,
243,-0.11,0.05,-0.01,4.25,0.5,8.34
,,,,,,
244,-0.11,0.03,-0.01,4.37,0.7,9.03
,,,,,,
245,-0.11,0.01,0,4.08,0.69,8.84
,,,,,,
246,-0.12,0.04,0,4.19,0.44,9.63
,,,,,,
247,-0.14,0,0,3.79,0.76,9.29
,,,,,,
